Date,US,Norway,Australia,China,India,Indonesia,Japan,Korea,Newzealand,Taiwan,Thailand,Finland,France,Germany,Netherland,Spain,Sweden,Brazil,Canada,Mexico
2020-01-01,28538.44,1032.23999,6802.4,10430.769531,41306.02,6299.539063,23656.619141,2197.669922,11491.9,11997.139648,1579.84,32.97,5978.060059,13249.009766,604.58,9549.200195,680.81,115964.0,17063.40039,43541.019531
2020-01-02,28868.8,1043.300049,6810.0,10638.820313,41626.64,6283.581055,23656.619141,2175.169922,11532.74,12100.480469,1595.82,34.47,6041.5,13385.929688,612.87,9691.200195,693.56,118573.0,17100.0,44437.230469
2020-01-03,28634.88,1047.329956,6855.2,10656.410156,41464.61,6323.46582,23656.619141,2176.459961,11593.14,12110.429688,1595.82,32.97,6044.160156,13219.139648,611.06,9646.599609,686.6,117707.0,17066.09961,44624.851563
2020-01-04,28634.88,1047.329956,6855.2,10656.410156,41464.61,6323.46582,23656.619141,2176.459961,11593.14,12110.429688,1595.82,32.97,6044.160156,13219.139648,611.06,9646.599609,686.6,117707.0,17066.09961,44624.851563
2020-01-05,28634.88,1047.329956,6855.2,10656.410156,41464.61,6323.46582,23656.619141,2176.459961,11541.57,12110.429688,1594.97,32.97,6044.160156,13219.139648,611.06,9646.599609,686.6,117707.0,17066.09961,44624.851563
2020-01-06,28703.38,1047.160034,6857.4,10698.269531,40676.63,6257.402832,23204.859375,2155.070068,11627.32,11953.360352,1568.5,31.97,6013.589844,13126.990234,607.24,9600.900391,686.6,116878.0,17105.5,44495.300781
2020-01-07,28583.68,1043.780029,6943.6,10829.049805,40869.47,6279.346191,23575.720703,2175.540039,11629.86,11880.320313,1585.23,32.93,6012.350098,13226.830078,609.71,9579.799805,689.23,116662.0,17168.09961,44157.808594
2020-01-08,28745.09,1045.310059,6930.1,10706.870117,40817.74,6225.686035,23204.759766,2151.310059,11556.98,11817.099609,1559.27,32.11,6031.0,13320.179688,610.48,9591.400391,688.86,116247.0,17167.80078,44470.910156
2020-01-09,28956.9,1043.859985,6991.4,10898.169922,41452.35,6274.493164,23739.869141,2186.449951,11537.68,11970.629883,1579.64,32.93,6042.549805,13495.05957,612.55,9581.799805,691.76,115947.0,17235.59961,44572.171875
2020-01-10,28823.77,1046.109985,7041.9,10879.839844,41599.72,6274.940918,23850.570313,2206.389893,11551.7,12024.650391,1580.63,33.65,6037.109863,13483.3,610.43,9573.599609,689.72,115503.0,17234.5,44660.328125
2020-01-11,28823.77,1046.109985,7041.9,10879.839844,41599.72,6274.940918,23850.570313,2206.389893,11551.7,12024.650391,1580.63,33.65,6037.109863,13483.3,610.43,9573.599609,689.72,115503.0,17234.5,44660.328125
2020-01-12,28823.77,1046.109985,7041.9,10879.839844,41599.72,6274.940918,23850.570313,2206.389893,11552.91,12024.650391,1580.63,33.65,6037.109863,13483.3,610.43,9573.599609,689.72,115503.0,17234.5,44660.328125
2020-01-13,28907.05,1047.23999,7020.2,11040.200195,41859.69,6296.566895,23850.570313,2229.26001,11543.67,12113.419922,1586.16,35.06,6036.140137,13451.519531,608.9,9543.900391,692.0,117325.0,17293.40039,44847.46875
2020-01-14,28939.67,1044.069946,7078.0,10988.769531,41952.63,6325.405762,24025.169922,2238.879883,11625.13,12179.80957,1586.9,33.88,6040.890137,13456.490234,611.15,9528.299805,692.19,117632.0,17352.90039,44773.238281
2020-01-15,29030.22,1041.01001,7113.5,10972.320313,41872.73,6283.365234,23916.580078,2230.97998,11676.67,12091.879883,1581.05,34.11,6032.609863,13432.299805,611.56,9511.700195,690.37,116414.0,17415.19922,44453.328125
2020-01-16,29297.64,1042.949951,7158.6,10967.44043,41932.56,6286.047852,23933.130859,2248.050049,11737.86,12066.929688,1595.87,34.47,6039.029785,13429.429688,612.06,9572.5,699.67,116704.0,17484.80078,45303.078125
2020-01-17,29348.1,1053.51001,7180.3,10954.389648,41945.37,6291.657227,24041.259766,2250.570068,11800.21,12090.290039,1600.48,34.65,6100.720215,13526.129883,615.57,9681.299805,704.96,118478.0,17559.0,45817.761719
2020-01-18,29348.1,1053.51001,7180.3,10954.389648,41945.37,6291.657227,24041.259766,2250.570068,11800.21,12090.290039,1600.48,34.65,6100.720215,13526.129883,615.57,9681.299805,704.96,118478.0,17559.0,45817.761719
